Lat,Long,Ocean,Cr_nmol/kg,sst_09,sst_10,sst_11,sst_12,Year,sst_01,sst_02,sst_04,sst_05,sst_06,sst_07,sst_08,sst_03,yearly_mean_sst
-49.906,141.931,Southern Ocean,3.3225,6.282449,7.353932,8.127031,7.887694,1998,8.479748,8.731452,6.99875,7.8661776,7.4440503,6.992491,6.380379,,7.5040145
-49.393,150.389,Southern Ocean,3.244285714285714,7.0018754,7.45988,8.113259,8.75488,1998,8.785939,8.730668,8.849063,7.133166,7.9768753,7.1251016,7.8105855,,7.9764814
-47.0,141.9,Southern Ocean,3.514688225129975,7.788125,7.960131,8.975,9.84247,1998,10.540248,10.032985,9.571718,9.574446,8.960263,8.261833,8.616079,,9.1021185
-46.97,141.93,Southern Ocean,2.9738178106991984,8.411194,8.234426,8.377188,9.65751,1998,10.669204,10.317239,9.62922,9.700278,9.14087,8.325051,9.564543,,9.275157
-45.7,153.5,Southern Ocean,3.4626901228000735,10.044714,9.547732,9.480208,10.887399,1998,11.90988,11.667642,10.335627,11.021372,10.084063,9.920867,9.675228,,10.415885
-41.9,-35.43,Atlantic,2.9048153040828515,10.093021,11.0469265,10.791146,12.681049,1998,13.423035,15.274622,13.173397,13.483418,13.3525,12.226664,11.1113405,,12.423374
-40.4,153.9,Pacific,3.1583256230805192,14.101911,13.696422,14.715625,15.557662,1998,17.871353,17.626049,16.724007,15.477068,14.733907,14.197788,13.634275,,15.303278
-40.36,-31.04,Atlantic,2.926442647019276,11.585418,12.480111,13.657916,13.950969,1998,15.636103,15.859476,15.307969,13.382086,11.758594,13.048748,12.3500805,,13.547043
-40.3,153.5,Pacific,4.81,13.570764,13.505845,14.6328125,15.323488,1998,18.104185,18.125278,17.105064,15.985132,14.853457,13.931535,13.648715,,15.344207
-34.67,154.55,Pacific,3.504695380939145,18.110037,19.090073,18.528479,21.531404,1998,24.189922,24.431253,22.77491,20.859056,20.114231,17.447765,16.999245,,20.37058
-32.5,-175.0,Pacific,3.9383774735489814,16.405163,17.45504,18.723377,19.892923,1998,21.371672,22.340929,22.386251,20.289618,18.001486,17.70915,15.6969795,,19.11569
-32.5,180.0,Pacific,3.126575779524156,16.841984,18.146673,18.759085,19.295715,1998,20.862854,22.829033,22.098297,20.306534,18.68986,17.81522,16.821587,,19.315166
-30.0,155.0,Pacific,3.1625591137119584,21.020107,22.376009,21.763628,23.058268,1998,25.51119,25.827673,24.952501,24.388836,22.460155,20.250185,20.000376,,22.87354
-30.0,160.0,Pacific,3.2097407291094324,20.221407,21.492342,21.280834,21.576456,1998,24.19113,24.914217,23.760502,22.179798,21.169727,19.890991,18.891481,,21.77899
-30.0,165.0,Pacific,3.6301483198021893,19.277128,19.883772,20.361752,21.44607,1998,23.924309,23.908066,23.40625,22.211433,20.777315,18.938137,19.236593,,21.215528
-30.0,170.0,Pacific,3.4696973419068704,18.190731,19.39516,19.727259,21.223776,1998,22.88362,23.608736,22.793169,22.020819,20.436281,19.49854,18.962715,,20.794617
-30.0,175.0,Pacific,3.1924015710686833,19.066969,19.750544,19.767622,21.248024,1998,22.430262,23.458519,23.570625,22.122179,21.06323,19.670073,19.668259,,21.07421
-26.25,-103.96,Pacific,3.295,18.747883,19.802118,20.656414,21.351465,1998,21.527243,22.81608,22.796354,21.589466,20.091236,19.034742,19.44118,,20.714016
-23.72578333333333,-24.92083333333333,Atlantic,2.8862909263908265,21.284088,21.591885,22.277805,24.157274,1998,26.28987,27.322592,27.310312,24.321724,23.330383,22.625961,20.94118,,23.768461
-21.56666666666667,-114.3,Pacific,4.699999999999999,21.581877,22.039618,22.434301,23.667643,1998,23.977825,25.959873,24.769825,24.222229,22.99142,22.378254,20.98966,,23.182955
-21.38333333333333,-114.2833333333333,Pacific,5.114285714285714,21.715626,21.923286,23.129608,23.740002,1998,24.102371,25.487099,25.052189,24.088308,23.13599,22.586796,21.65504,,23.328754
