1997,1998,1999,2000,2001
-4122.4443,-4122.172,-4117.5586,-4117.42,-4127.2983
-4112.5693,-4112.3037,-4112.597,-4107.5654,-4112.556
-4073.3357,-4077.9746,-4073.397,-4078.1326,-4078.226
-4058.5825,-4058.346,-4053.73,-4063.3682,-4053.686
-4053.6213,-4038.7285,-4058.561,-4053.5176,-4053.626
-4043.7844,-4048.4478,-4048.713,-4043.6675,-4038.9102
-4009.4646,-3994.563,-4009.516,-3999.5732,-3989.9238
-3989.8364,-3994.5298,-3994.7864,-3989.729,-3980.0718
-3940.836,-3955.3464,-3955.5913,-3950.5122,-3931.073
-3886.9314,-3891.6853,-3891.9087,-3881.9558,-3882.0635
-3886.874,-3901.4294,-3901.6514,-3886.7998,-3886.896
-3886.8428,-3891.6084,-3891.829,-3891.6672,-3886.8599
-3901.4478,-3906.2334,-3906.459,-3896.4858,-3891.689
-3876.929,-3876.8416,-3886.864,-3886.6843,-3886.7598
-3862.1924,-3857.2244,-3867.235,-3867.0679,-3857.353
-3803.4146,-3808.2507,-3818.2441,-3813.204,-3798.5728
-3681.0088,-3676.0723,-3681.165,-3685.912,-3666.3667
-3632.0288,-3631.9758,-3637.0786,-3632.0344,-3622.2744
-3636.8752,-3636.8313,-3632.156,-3632.0098,-3627.126
-3631.9333,-3636.794,-3637.0225,-3631.9824,-3617.292
-3612.3267,-3612.2979,-3627.2095,-3617.2832,-3607.482
-3626.9463,-3622.0352,-3632.0554,-3617.2214,-3617.2188
-3646.4712,-3656.2554,-3656.478,-3636.7468,-3646.5337
-3670.899,-3666.0093,-3666.2197,-3661.1597,-3661.18
-3656.1812,-3661.083,-3666.1658,-3661.1392,-3656.2266
-3651.258,-3670.8613,-3656.3496,-3661.1094,-3651.3003
-3616.947,-3631.6572,-3631.8506,-3631.6714,-3621.8887
-3626.7007,-3631.6313,-3631.817,-3626.7734,-3626.7383
-3651.1455,-3636.5068,-3661.1528,-3641.4272,-3636.491
-3670.6924,-3675.6504,-3680.7078,-3680.5718,-3665.8442
-3631.5017,-3631.5513,-3646.4011,-3646.268,-3636.4465
-3562.957,-3572.7827,-3582.7578,-3577.7305,-3572.7983
-3611.8508,-3606.994,-3631.6658,-3602.165,-3607.023
-3626.4883,-3631.413,-3656.1035,-3646.181,-3641.2346
-3577.5042,-3587.3477,-3597.3223,-3592.3237,-3587.375
-3513.8418,-3548.1567,-3553.2295,-3533.5415,-3543.272
-3459.9595,-3469.8032,-3479.7756,-3469.8823,-3469.8193
-3347.3572,-3366.9907,-3376.9866,-3367.083,-3352.3445
-3332.6309,-3332.7122,-3337.8157,-3332.808,-3327.853
-3342.379,-3342.4565,-3352.448,-3347.438,-3342.4983
-3332.5645,-3332.6301,-3342.6248,-3337.6133,-3342.4333
-3298.2544,-3288.558,-3303.434,-3303.305,-3298.337
-3210.1233,-3215.0833,-3220.2012,-3229.871,-3224.876
-3195.4016,-3195.4663,-3195.7017,-3195.5874,-3195.4666
-3161.0803,-3180.7285,-3180.9663,-3180.8523,-3185.6084
-3136.5752,-3136.6265,-3151.5676,-3161.2397,-3161.0918
-3116.9326,-3141.4663,-3156.3955,-3170.9597,-3161.0205
-3146.2537,-3156.0952,-3146.5571,-3141.5525,-3136.5032
-3126.6423,-3136.4639,-3146.496,-3146.4062,-3141.3638
-3126.6123,-3126.6543,-3126.8843,-3126.788,-3126.6396
-3126.5742,-3141.314,-3131.757,-3131.655,-3131.5093
-3087.3926,-3097.2288,-3097.4592,-3092.461,-3087.4175
-3087.3667,-3097.2354,-3097.441,-3092.4468,-3092.3057
-3028.5745,-3038.4404,-3048.4373,-3048.3367,-3048.2053
-3116.648,-3111.8413,-3116.929,-3116.8447,-3111.804
-3219.432,-3239.098,-3239.2717,-3234.3208,-3229.2583
-3136.1826,-3155.826,-3156.0122,-3155.962,-3155.7825
-3082.3088,-3092.1606,-3087.448,-3092.2817,-3087.2087
-2940.2903,-2945.2568,-2950.3496,-2950.2744,-2950.091
-2920.6804,-2920.7544,-2920.9563,-2920.8706,-2920.6765
-2896.18,-2896.252,-2901.3467,-2911.0513,-2905.9744
-2891.2646,-2896.245,-2891.5332,-2886.549,-2891.276
-2891.2168,-2891.3098,-2891.4968,-2896.2998,-2891.216
-2827.5596,-2837.4521,-2837.6084,-2832.6387,-2832.4434
-2812.8452,-2817.852,-2813.1047,-2817.9287,-2822.628
-2773.6514,-2788.4565,-2778.827,-2783.6433,-2778.5376
-2729.5774,-2724.8135,-2729.8608,-2729.7695,-2729.5874
-2685.479,-2690.503,-2690.6475,-2705.2485,-2705.0703
-2631.5896,-2646.4175,-2646.5505,-2651.375,-2656.122
-2582.6084,-2607.2295,-2602.4658,-2597.52,-2597.3542
-2616.8445,-2621.898,-2622.0269,-2626.87,-2626.6958
-2592.3394,-2592.489,-2592.6262,-2597.4883,-2592.3975
-2602.1155,-2592.4873,-2602.393,-2597.4565,-2607.076
-2592.3018,-2602.2573,-2592.5798,-2597.4224,-2592.3699
-2587.391,-2592.4485,-2602.354,-2597.3923,-2597.2244
-2587.3887,-2597.3464,-2597.4497,-2592.5137,-2587.4368
-2533.5078,-2543.4746,-2543.5671,-2538.6482,-2538.4429
-2513.9136,-2518.9773,-2519.0786,-2519.0557,-2518.8506
-2533.4824,-2528.7603,-2533.7456,-2533.7075,-2533.543
-2523.666,-2528.755,-2528.8503,-2528.7822,-2528.6516
-2508.965,-2504.271,-2509.2468,-2514.0813,-2509.0808
-2459.9854,-2465.082,-2470.0752,-2469.9932,-2474.784
-2406.1318,-2416.104,-2416.2046,-2425.919,-2430.71
-2381.6418,-2386.735,-2396.6235,-2406.3262,-2406.2458
-2342.4639,-2342.679,-2342.7913,-2352.4902,-2357.289
