Lat,Long,Ocean,Cr_nmol/kg,npp_10,npp_11,npp_12,Year,npp_01,npp_02,npp_04,npp_05,npp_06,npp_07,npp_08,npp_09,npp_03,yearly_mean_npp
20.9,-108.0,Pacific,2.9250000000000003,271.1136,330.80035,498.51236,1998,479.5335,655.5767,555.35315,511.53488,351.54016,352.55606,292.15015,294.6736,,417.57678
21.0,-132.0,Pacific,3.9208317958005945,234.00768,279.63052,293.56302,1998,340.32468,275.77643,294.81485,266.07187,280.023,275.77158,242.931,220.6008,,273.04684
21.47666666666667,-126.595,Pacific,3.3438615061310726,222.83792,296.06967,367.05722,1998,323.5776,382.50467,335.21582,304.9949,274.4384,319.59167,294.2125,247.48198,,306.1802
23.485,-117.0216666666667,Pacific,3.4616646002789655,301.66565,372.56366,412.12946,1998,679.96326,653.52026,511.42905,410.52155,457.13907,347.88303,270.16,269.36856,,426.03125
24.0,-42.0,Atlantic,2.9149999999999996,160.26442,174.03555,246.1285,1998,252.52043,253.38684,241.55101,186.53317,204.59508,198.75378,200.31708,182.49445,,209.14366
24.16716666666667,-160.2538333333333,Pacific,3.01,202.41676,218.4354,305.28918,1998,315.7248,284.74503,341.90298,361.27005,300.63232,299.68997,257.2305,225.77892,,283.01053
24.28333333333333,-114.9833333333333,Pacific,3.1889373243116528,430.7618,383.4086,410.71347,1998,551.6992,645.07355,733.6812,529.2425,446.26758,377.51917,306.90994,307.32675,,465.69128
24.69833333333333,-114.1066666666667,Pacific,3.0910074438492483,428.2907,421.09903,495.1948,1998,822.1665,829.137,740.1659,674.571,593.692,481.17114,363.4118,349.62543,,563.5023
25.98333333333333,-47.13333333333333,Atlantic,2.954285714285714,151.76773,165.17702,232.8069,1998,253.95401,251.17111,240.74931,211.62846,172.48868,206.21336,178.56131,147.42169,,201.0854
26.14,-35.19483333333334,Atlantic,2.8124520083911744,188.1696,207.1651,258.2424,1998,279.09924,285.63483,238.06822,229.72287,190.53885,181.76154,188.95839,189.35966,,221.52007
30.0,-140.0,Pacific,3.855384615384615,250.24147,237.75911,313.3091,1998,382.4425,311.36328,360.87857,321.09488,253.53377,283.35385,290.25616,255.66734,,296.35452
32.16666666666666,-64.5,Atlantic,2.985199082760058,241.44109,300.4222,380.66632,1998,405.85968,566.1007,465.67648,395.63522,362.99716,267.72064,176.17375,192.74525,,341.40353
